province,total,n,ID_0,ISO,NAME_0,ID_1,NAME_1,TYPE_1,ENGTYPE_1,NL_NAME_1,region
Amnat Charoen Province,Total,376350,228,THA,Thailand,1,Amnat Charoen,Changwat,Province,????????????????,Northeastern Region
Ang Thong Province,Total,274763,228,THA,Thailand,2,Ang Thong,Changwat,Province,??????????????,Central Region
Bangkok,Total,5527994,228,THA,Thailand,3,Bangkok Metropolis,Changwat,Province,????????????????,Bangkok
Bueng Kan Province,Total,421995,228,THA,Thailand,4,Bueng Kan,Changwat,Province,??????,Northeastern Region
Buri Ram Province,Total,1579805,228,THA,Thailand,5,Buri Ram,Changwat,Province,????????????????,Northeastern Region
Chachoengsao Province,Total,724178,228,THA,Thailand,6,Chachoengsao,Changwat,Province,????????????????,Central Region
Chai Nat Province,Total,320432,228,THA,Thailand,7,Chai Nat,Changwat,Province,?????????????,Central Region
Chaiyaphum Province,Total,1122265,228,THA,Thailand,8,Chaiyaphum,Changwat,Province,?????????????,Northeastern Region
Chanthaburi Province,Total,536557,228,THA,Thailand,9,Chanthaburi,Changwat,Province,????????,Central Region
Chiang Mai Province,Total,1789385,228,THA,Thailand,10,Chiang Mai,Changwat,Province,????????????????,Northern Region
Chiang Rai Province,Total,1298425,228,THA,Thailand,11,Chiang Rai,Changwat,Province,???????????????,Northern Region
Chon Buri Province,Total,1583672,228,THA,Thailand,12,Chon Buri,Changwat,Province,?????????????,Central Region
Chumphon Province,Total,509479,228,THA,Thailand,13,Chumphon,Changwat,Province,????????????,Southern Region
Kalasin Province,Total,975570,228,THA,Thailand,14,Kalasin,Changwat,Province,????????????????,Northeastern Region
Kamphaeng Phet Province,Total,712143,228,THA,Thailand,15,Kamphaeng Phet,Changwat,Province,????????????????,Northern Region
Kanchanaburi Province,Total,894054,228,THA,Thailand,16,Kanchanaburi,Changwat,Province,????????????????,Central Region
Khon Kaen  Province,Total,1790863,228,THA,Thailand,17,Khon Kaen,Changwat,Province,??????????????,Northeastern Region
Krabi Province,Total,479351,228,THA,Thailand,18,Krabi,Changwat,Province,?????????????,Southern Region
